method,mode,n,all_status_ok,fixed_step_reward_mean,fixed_step_reward_std,fixed_step_reward_min,fixed_step_reward_max,done_rate_mean,done_rate_std,done_rate_min,done_rate_max,episode_return_mean_mean,episode_return_mean_std,episode_return_mean_min,episode_return_mean_max,episode_len_mean_mean,episode_len_mean_std,episode_len_mean_min,episode_len_mean_max,screw_progress_rad_mean_mean,screw_progress_rad_mean_std,screw_progress_rad_mean_min,screw_progress_rad_mean_max,success_2pi_rate_mean,success_2pi_rate_std,success_2pi_rate_min,success_2pi_rate_max,policy_ms_mean_mean,policy_ms_mean_std,policy_ms_mean_min,policy_ms_mean_max,policy_ms_p50_mean,policy_ms_p50_std,policy_ms_p50_min,policy_ms_p50_max,policy_ms_p95_mean,policy_ms_p95_std,policy_ms_p95_min,policy_ms_p95_max
consistency_latent,eval,3,True,4.839465847184329,0.057000797176517314,4.792627289923985,4.902931387114222,0.0010918511461568414,2.1175809065588888e-05,0.0010681152416509576,0.001108805356125231,3248.748291015625,20.93139510897492,3234.305419921875,3272.7529296875,666.0520833333334,7.416270841972898,658.08203125,672.75,2.3225257396698,0.06651529178504288,2.2610771656036377,2.3931541442871094,0.0,0.0,0.0,0.0,,,,,,,,,,,,
diffusion_latent,eval,3,True,4.184685153835744,0.17660203817233652,3.9867970397608588,4.32627309223426,0.0012444390389039957,6.77320204515831e-05,0.0011698405078277574,0.0013020833521295572,2552.9532063802085,96.9612019116516,2481.830078125,2663.398681640625,610.2633056640625,1.8665528465796062,608.3773803710938,612.10986328125,1.6690711975097656,0.11656991241262615,1.5636541843414307,1.7942640781402588,0.0,0.0,0.0,0.0,,,,,,,,,,,,
flow_matching,eval,3,True,4.9685381664870265,0.12774087673347928,4.821421953871322,5.05133459395438,0.001112196209760441,5.2201355648809275e-05,0.0010681152507459046,0.0011698405278366408,3275.471923828125,51.60005215175067,3215.91552734375,3306.780517578125,660.3971354166666,4.1151640792030415,656.50390625,664.703125,2.1451388200124106,0.01838737884689552,2.124101400375366,2.1581406593322754,0.0013020833333333333,0.002255274489021976,0.0,0.00390625,,,,,,,,,,,,
padapt,eval,3,True,4.641061123284089,0.07813813932011741,4.554091142523248,4.705348412846433,0.0010816786331512656,2.1175796249645387e-05,0.0010579427453194512,0.001098632839784841,3053.9664713541665,59.44908341711684,2993.164306640625,3111.963134765625,657.0416666666666,10.711761123892071,644.95703125,665.3671875,2.1090038617451987,0.2790247348546367,1.815788745880127,2.3712551593780518,0.0013020833333333333,0.002255274489021976,0.0,0.00390625,,,,,,,,,,,,
purebc,eval,3,True,4.331509015574738,0.05406122446246911,4.269173805572791,4.365567500353791,0.0011596680011886444,2.0345072243799223e-05,0.0011393229287932627,0.0011800130732808611,2788.9090983072915,135.39211000404768,2639.870849609375,2904.31494140625,637.1544596354166,19.755992996183814,614.34228515625,648.61328125,2.1010369459788003,0.029981735822941794,2.068692207336426,2.127898931503296,0.0,0.0,0.0,0.0,,,,,,,,,,,,
teacher_ppo,eval,3,True,5.265713737773543,0.05553628045659948,5.201863018253789,5.302795904642608,0.001078287798918609,2.6913985913891175e-05,0.0010477702071511885,0.0010986328588842298,3485.63427734375,23.57491637985715,3458.458740234375,3500.598388671875,667.2005208333334,9.586211549074367,661.609375,678.26953125,2.145995537439982,0.054654212502323836,2.101361036300659,2.2069509029388428,0.0,0.0,0.0,0.0,,,,,,,,,,,,
