method,mode,n,all_status_ok,fixed_step_reward_mean,fixed_step_reward_std,fixed_step_reward_min,fixed_step_reward_max,done_rate_mean,done_rate_std,done_rate_min,done_rate_max,episode_return_mean_mean,episode_return_mean_std,episode_return_mean_min,episode_return_mean_max,episode_len_mean_mean,episode_len_mean_std,episode_len_mean_min,episode_len_mean_max,screw_progress_rad_mean_mean,screw_progress_rad_mean_std,screw_progress_rad_mean_min,screw_progress_rad_mean_max,success_2pi_rate_mean,success_2pi_rate_std,success_2pi_rate_min,success_2pi_rate_max,policy_ms_mean_mean,policy_ms_mean_std,policy_ms_mean_min,policy_ms_mean_max,policy_ms_p50_mean,policy_ms_p50_std,policy_ms_p50_min,policy_ms_p50_max,policy_ms_p95_mean,policy_ms_p95_std,policy_ms_p95_min,policy_ms_p95_max
consistency_latent,eval,3,True,5.190262720862743,0.054868719640493765,5.148412165799527,5.252382350867265,0.0010579427268263923,1.0172541351494556e-05,0.001047770187142305,0.0010681152698452934,3540.3733723958335,146.25081173686462,3408.860595703125,3697.877197265625,683.2656453450521,24.14916144491417,661.73828125,709.3789672851562,2.3923986752827964,0.13220122692421032,2.312786340713501,2.545003652572632,0.0011695906432748538,0.0020257904182092133,0.0,0.0035087719298245615,,,,,,,,,,,,
diffusion_latent,eval,3,True,4.512912469440683,0.07813496163058241,4.439576101784951,4.595093345051282,0.0011664496778394096,3.1077593131596776e-05,0.001139322936978715,0.0012003581150565878,2905.3427734375,58.33903634962473,2839.28173828125,2949.79248046875,637.5891723632812,12.407748822896814,625.7597045898438,650.50390625,1.653591235478719,0.21835972781066845,1.5218394994735718,1.9056446552276611,0.0,0.0,0.0,0.0,,,,,,,,,,,,
flow_matching,eval,3,True,5.25747248893822,0.0964043403926631,5.199167492486595,5.36874801918384,0.0010545518880462623,2.5600303671434955e-05,0.0010274251426380943,0.0010782877880046726,3585.1947428385415,56.180022790430186,3520.80810546875,3624.2412109375,683.6471354166666,12.033669813810977,669.859375,692.03515625,2.3151137828826904,0.021263022045024792,2.297826051712036,2.3388562202453613,0.0,0.0,0.0,0.0,,,,,,,,,,,,
padapt,eval,3,True,4.825399226791205,0.23700850810891344,4.561607266378587,5.020409263532201,0.0010816786222373291,2.117581547355977e-05,0.0010579427143966313,0.001098632848879788,3280.6449381510415,99.64919730743794,3168.228271484375,3358.109619140625,675.109375,9.663970132693185,664.3984375,683.17578125,2.2057247956593833,0.09731763596462964,2.093571662902832,2.2678823471069336,0.0,0.0,0.0,0.0,,,,,,,,,,,,
purebc,eval,3,True,4.610403371657526,0.09988721051942168,4.53605183624677,4.723942361609602,0.0011494954602918976,5.382795463994916e-05,0.0010884602943406207,0.0011901855596079258,3082.8396809895835,54.050882831807115,3020.51220703125,3116.8251953125,658.1328125,2.7125918043220216,655.3671875,660.7890625,2.1722583770751953,0.03963301939546682,2.1267223358154297,2.198979616165161,0.0,0.0,0.0,0.0,,,,,,,,,,,,
teacher_ppo,eval,3,True,5.47873181654298,0.013895121322517945,5.4640439007653185,5.49166802300897,0.0010443793577602871,1.5538789172867567e-05,0.001027425152642536,0.0010579427325865254,3764.1595865885415,173.21197610096687,3660.397705078125,3964.119873046875,686.5440063476562,23.599483028639717,669.73046875,713.5226440429688,2.3550077279408774,0.08775105103263454,2.2752859592437744,2.449031114578247,0.0,0.0,0.0,0.0,,,,,,,,,,,,
