method,mode,n,all_status_ok,fixed_step_reward_mean,fixed_step_reward_std,fixed_step_reward_min,fixed_step_reward_max,done_rate_mean,done_rate_std,done_rate_min,done_rate_max,episode_return_mean_mean,episode_return_mean_std,episode_return_mean_min,episode_return_mean_max,episode_len_mean_mean,episode_len_mean_std,episode_len_mean_min,episode_len_mean_max,screw_progress_rad_mean_mean,screw_progress_rad_mean_std,screw_progress_rad_mean_min,screw_progress_rad_mean_max,success_2pi_rate_mean,success_2pi_rate_std,success_2pi_rate_min,success_2pi_rate_max,policy_ms_mean_mean,policy_ms_mean_std,policy_ms_mean_min,policy_ms_mean_max,policy_ms_p50_mean,policy_ms_p50_std,policy_ms_p50_min,policy_ms_p50_max,policy_ms_p95_mean,policy_ms_p95_std,policy_ms_p95_min,policy_ms_p95_max
consistency_latent,latency,3,True,,,,,,,,,,,,,,,,,,,,,,,,,1.0992211898167927,0.010565725946626359,1.0871214866638184,1.106624722480774,1.0884268283843994,0.008125796191809118,1.0792183876037598,1.0945905447006226,1.171250581741333,0.008021246750546282,1.1637444496154785,1.1797029972076416
diffusion_action_chunk,latency,3,True,,,,,,,,,,,,,,,,,,,,,,,,,1.1214970747629802,0.08096928532419694,1.0280932188034058,1.1717787981033325,1.0979042847951253,0.06692849098867104,1.021019458770752,1.1431264877319336,1.2230996290842693,0.1276882152175313,1.0764647722244263,1.3097566366195679
diffusion_latent,latency,3,True,,,,,,,,,,,,,,,,,,,,,,,,,1.2758264541625977,0.15403109247767596,1.1283446550369263,1.4356627464294434,1.2620713313420613,0.14523486883656206,1.1221284866333008,1.4120750427246094,1.3602441151936848,0.19774882418500522,1.1760320663452148,1.5692006349563599
flow_matching,latency,3,True,,,,,,,,,,,,,,,,,,,,,,,,,1.1534792979558308,0.09072919099188254,1.075520396232605,1.2530689239501953,1.149121602376302,0.09935870030148343,1.0644888877868652,1.2585209608078003,1.2264481782913208,0.12711928264745634,1.1299426555633545,1.370483636856079
