method,mode,n,all_status_ok,fixed_step_reward_mean,fixed_step_reward_std,fixed_step_reward_min,fixed_step_reward_max,done_rate_mean,done_rate_std,done_rate_min,done_rate_max,episode_return_mean_mean,episode_return_mean_std,episode_return_mean_min,episode_return_mean_max,episode_len_mean_mean,episode_len_mean_std,episode_len_mean_min,episode_len_mean_max,screw_progress_rad_mean_mean,screw_progress_rad_mean_std,screw_progress_rad_mean_min,screw_progress_rad_mean_max,success_2pi_rate_mean,success_2pi_rate_std,success_2pi_rate_min,success_2pi_rate_max,policy_ms_mean_mean,policy_ms_mean_std,policy_ms_mean_min,policy_ms_mean_max,policy_ms_p50_mean,policy_ms_p50_std,policy_ms_p50_min,policy_ms_p50_max,policy_ms_p95_mean,policy_ms_p95_std,policy_ms_p95_min,policy_ms_p95_max
consistency_latent,eval,3,True,5.068621234120258,0.04061226073729442,5.036762795340735,5.114352058015356,0.0011223687342862831,7.144947828848537e-05,0.0010477702062416938,0.0011901855777978199,3351.3634440104165,74.64561910626922,3273.291259765625,3422.030517578125,666.85546875,10.232263618085687,655.79296875,675.98046875,2.098097085952759,0.07256902468859376,2.044304847717285,2.180635452270508,0.0,0.0,0.0,0.0,,,,,,,,,,,,
diffusion_latent,eval,3,True,4.0317697263693235,0.07824363589986846,3.9499291967740646,4.1058360670358525,0.0012139214880638367,5.873109799587895e-05,0.0011800130714618717,0.0012817383185392828,2477.0665690104165,38.41956056659575,2439.81689453125,2516.557861328125,621.9318440755209,6.265149191597529,615.0572509765625,627.3203125,1.7086495955785115,0.021562299862562053,1.6859453916549683,1.7288516759872437,0.0,0.0,0.0,0.0,,,,,,,,,,,,
flow_matching,eval,3,True,4.888510204702672,0.09730977489791018,4.810489428642541,4.997547453064421,0.001091851156464448,4.69848968276085e-05,0.0010375976708019152,0.0011189779042979353,3272.24169921875,103.2251176856417,3184.943115234375,3386.173583984375,661.44921875,14.453519314722442,650.890625,677.921875,2.0196120341618857,0.21851337314646907,1.8722219467163086,2.270663261413574,0.0,0.0,0.0,0.0,,,,,,,,,,,,
padapt,eval,3,True,4.7034228887223435,0.01542778007134354,4.687033078078457,4.717663203726261,0.001078287784063529,3.5238668354293314e-05,0.001057942724401073,0.0011189778933839989,3120.2994791666665,68.08025465094411,3052.3359375,3188.495849609375,663.234375,10.233755497710215,651.515625,670.41015625,2.16713015238444,0.10441241434269996,2.070934772491455,2.278170585632324,0.0,0.0,0.0,0.0,,,,,,,,,,,,
purebc,eval,3,True,4.506623625284798,0.020651364966396767,4.484077722259826,4.524622687677038,0.0011088053773467739,4.069010674356832e-05,0.001068115270754788,0.0011494954842419247,2990.66650390625,87.12831746842862,2898.005126953125,3070.9345703125,666.2643229166666,22.77666556684879,639.96484375,679.5859375,2.0289421478907266,0.13605262115168285,1.8836430311203003,2.1533260345458984,0.0,0.0,0.0,0.0,,,,,,,,,,,,
teacher_ppo,eval,3,True,3.626207181899782,0.4464595335575668,3.139440828314335,4.016627778648399,0.00130208335910235,4.434101026890555e-05,0.0012715657730950625,0.0013529459847632097,2242.1942545572915,51.880384500293346,2184.052978515625,2283.765625,596.3747151692709,13.79801735144023,587.9147338867188,612.296875,2.137883186340332,0.22197225540991286,2.00871205329895,2.3941919803619385,0.0,0.0,0.0,0.0,,,,,,,,,,,,
