method,mode,n,all_status_ok,fixed_step_reward_mean,fixed_step_reward_std,fixed_step_reward_min,fixed_step_reward_max,done_rate_mean,done_rate_std,done_rate_min,done_rate_max,episode_return_mean_mean,episode_return_mean_std,episode_return_mean_min,episode_return_mean_max,episode_len_mean_mean,episode_len_mean_std,episode_len_mean_min,episode_len_mean_max,screw_progress_rad_mean_mean,screw_progress_rad_mean_std,screw_progress_rad_mean_min,screw_progress_rad_mean_max,success_2pi_rate_mean,success_2pi_rate_std,success_2pi_rate_min,success_2pi_rate_max,policy_ms_mean_mean,policy_ms_mean_std,policy_ms_mean_min,policy_ms_mean_max,policy_ms_p50_mean,policy_ms_p50_std,policy_ms_p50_min,policy_ms_p50_max,policy_ms_p95_mean,policy_ms_p95_std,policy_ms_p95_min,policy_ms_p95_max
consistency_latent,eval,3,True,5.110965090909303,0.024901458508527922,5.0830503585748374,5.130893924640986,0.0010681152701484582,1.0172521797361528e-05,0.0010579427435004618,0.001078287787095178,3508.879638671875,48.71707821082562,3454.10595703125,3547.36767578125,683.6888020833334,10.983220104353599,672.56640625,694.52734375,2.2887021700541177,0.07590095284916568,2.21030330657959,2.361830472946167,0.0,0.0,0.0,0.0,,,,,,,,,,,,
diffusion_action_chunk,eval,3,True,-0.7748884804338255,0.024112431971352984,-0.7982984595873859,-0.7501301758529735,0.0166015625,0.0,0.0166015625,0.0166015625,-43.661312103271484,5.194254647373649,-47.35548782348633,-37.72214889526367,58.33333206176758,0.0,58.33333206176758,58.33333206176758,0.010027814966936907,0.005407199069145496,0.006099258083850145,0.016194786876440048,0.0,0.0,0.0,0.0,,,,,,,,,,,,
diffusion_latent,eval,3,True,3.527291418709789,0.12376303702876808,3.3859487993686344,3.6162380478829164,0.0011698405278366408,5.382796048381341e-05,0.0011291504024484311,0.0012308756950005773,2225.5341796875,143.53134448722955,2060.011474609375,2315.5703125,631.3775227864584,32.31521264531776,595.632568359375,658.5234375,1.697256088256836,0.27295351467554485,1.3999459743499756,1.9365127086639404,0.0,0.0,0.0,0.0,,,,,,,,,,,,
flow_matching,eval,3,True,5.239993397021635,0.046310037194788975,5.18866029619312,5.27863315499917,0.0010748969416454202,2.1175816711463486e-05,0.0010579427134871366,0.0010986328506987775,3631.2942708333335,78.4997528466102,3571.16748046875,3720.10107421875,690.4825032552084,7.3930445911514004,684.86328125,698.857666015625,2.2330750624338784,0.14845088504817858,2.1296589374542236,2.40317440032959,0.0,0.0,0.0,0.0,,,,,,,,,,,,
