method,mode,n,all_status_ok,fixed_step_reward_mean,fixed_step_reward_std,fixed_step_reward_min,fixed_step_reward_max,done_rate_mean,done_rate_std,done_rate_min,done_rate_max,episode_return_mean_mean,episode_return_mean_std,episode_return_mean_min,episode_return_mean_max,episode_len_mean_mean,episode_len_mean_std,episode_len_mean_min,episode_len_mean_max,screw_progress_rad_mean_mean,screw_progress_rad_mean_std,screw_progress_rad_mean_min,screw_progress_rad_mean_max,success_2pi_rate_mean,success_2pi_rate_std,success_2pi_rate_min,success_2pi_rate_max,policy_ms_mean_mean,policy_ms_mean_std,policy_ms_mean_min,policy_ms_mean_max,policy_ms_p50_mean,policy_ms_p50_std,policy_ms_p50_min,policy_ms_p50_max,policy_ms_p95_mean,policy_ms_p95_std,policy_ms_p95_min,policy_ms_p95_max
consistency_latent,eval,3,True,5.190262720862743,0.054868719640493765,5.148412165799527,5.252382350867265,0.0010579427268263923,1.0172541351494556e-05,0.001047770187142305,0.0010681152698452934,3540.3733723958335,146.25081173686462,3408.860595703125,3697.877197265625,683.2656453450521,24.14916144491417,661.73828125,709.3789672851562,2.3923986752827964,0.13220122692421032,2.312786340713501,2.545003652572632,0.0011695906432748538,0.0020257904182092133,0.0,0.0035087719298245615,,,,,,,,,,,,
diffusion_action_chunk,eval,3,True,-0.6470110880263746,0.01603651922377256,-0.6601141023056698,-0.6291280668037871,0.0166015625,0.0,0.0166015625,0.0166015625,-32.65041414896647,6.505863070542938,-40.15643310546875,-28.63092041015625,58.33333206176758,0.0,58.33333206176758,58.33333206176758,0.012915304861962795,0.005568833024517759,0.007829093374311924,0.018865717574954033,0.0,0.0,0.0,0.0,,,,,,,,,,,,
diffusion_latent,eval,3,True,1.7212478908923383,0.37827444124825954,1.5012701379010878,2.158037768064787,0.0014987522026785882,0.0001410769601415293,0.0013427734684228199,0.0016174316733668093,889.8468424479166,35.605240497617785,850.5673217773438,920.001953125,556.2578125,0.8644470352530642,555.60546875,557.23828125,1.9858723084131877,0.1962567923601908,1.802470326423645,2.1928534507751465,0.0,0.0,0.0,0.0,,,,,,,,,,,,
flow_matching,eval,3,True,5.25747248893822,0.0964043403926631,5.199167492486595,5.36874801918384,0.0010545518880462623,2.5600303671434955e-05,0.0010274251426380943,0.0010782877880046726,3585.1947428385415,56.180022790430186,3520.80810546875,3624.2412109375,683.6471354166666,12.033669813810977,669.859375,692.03515625,2.3151137828826904,0.021263022045024792,2.297826051712036,2.3388562202453613,0.0,0.0,0.0,0.0,,,,,,,,,,,,
