method,mode,n,all_status_ok,fixed_step_reward_mean,fixed_step_reward_std,fixed_step_reward_min,fixed_step_reward_max,done_rate_mean,done_rate_std,done_rate_min,done_rate_max,episode_return_mean_mean,episode_return_mean_std,episode_return_mean_min,episode_return_mean_max,episode_len_mean_mean,episode_len_mean_std,episode_len_mean_min,episode_len_mean_max,screw_progress_rad_mean_mean,screw_progress_rad_mean_std,screw_progress_rad_mean_min,screw_progress_rad_mean_max,success_2pi_rate_mean,success_2pi_rate_std,success_2pi_rate_min,success_2pi_rate_max,policy_ms_mean_mean,policy_ms_mean_std,policy_ms_mean_min,policy_ms_mean_max,policy_ms_p50_mean,policy_ms_p50_std,policy_ms_p50_min,policy_ms_p50_max,policy_ms_p95_mean,policy_ms_p95_std,policy_ms_p95_min,policy_ms_p95_max
consistency_latent,eval,3,True,2.0922481263294737,0.3081938888757906,1.8114203610093682,2.4219641426525413,0.0017259386334747735,5.960555718858313e-05,0.0016581217996645137,0.001770019573996251,845.7716878255209,248.55741161732314,579.9637451171875,1072.4327392578125,473.44921875,42.3676882937049,431.51171875,516.234375,2.1634343465169272,0.13207111665267632,2.0219807624816895,2.2835164070129395,0.0,0.0,0.0,0.0,,,,,,,,,,,,
diffusion_latent,eval,3,True,1.9668810785655684,0.44111885208554236,1.4688988870436361,2.3085875687361295,0.0016716851632736507,0.00015965790754808546,0.0015462239971384406,0.0018513998020353029,908.7510986328125,145.16709356718053,767.7565307617188,1057.7587890625,486.8372395833333,19.647313094276893,464.23046875,499.7890625,1.9338414669036865,0.031751972824820916,1.900217056274414,1.9633121490478516,0.0,0.0,0.0,0.0,,,,,,,,,,,,
flow_matching,eval,3,True,1.9963652972352481,0.4239501284526925,1.5309052357112023,2.3604113961670805,0.0017666287367319455,0.00017862369429684407,0.001597086627043609,0.0019531250536601874,778.9044392903646,124.04612896896985,635.7407836914062,854.431884765625,449.4765625,17.358208096046784,431.00390625,465.44921875,2.221780856450399,0.21883664185888912,2.071540117263794,2.4728565216064453,0.0,0.0,0.0,0.0,,,,,,,,,,,,
padapt,eval,3,True,1.5973011659621175,0.0552641189070188,1.5335215645105222,1.6309922627701496,0.001881917370762191,9.81002880785435e-05,0.0018107096866515349,0.0019938151563110296,520.3424072265625,195.92624405576117,349.38360595703125,734.145263671875,433.5455729166667,10.845120712553491,426.15625,445.99609375,2.278965950012207,0.06126976657742395,2.2388195991516113,2.3494889736175537,0.0,0.0,0.0,0.0,,,,,,,,,,,,
purebc,eval,3,True,1.452870682904366,0.09959695641394964,1.3483541229444995,1.5466833880101376,0.001902262427089833,7.944997641031585e-05,0.0018513997911213664,0.001993815170862945,543.6158955891927,64.83151940457805,469.1739196777344,587.6867065429688,433.625,10.324802527952336,421.73046875,440.2734375,2.246384620666504,0.12275174643299978,2.1122820377349854,2.353189706802368,0.0,0.0,0.0,0.0,,,,,,,,,,,,
teacher_ppo,eval,3,True,2.4996363589996045,0.2859161514091622,2.2297697911537284,2.7992726250022315,0.0018242730463195282,6.540020098039527e-05,0.0017496745122116408,0.0018717448410825455,1310.1002604166667,267.2546673624625,1029.085693359375,1561.0528564453125,475.2903645833333,21.336416061511713,453.51953125,496.1640625,2.4692959785461426,0.06432132032281149,2.401268482208252,2.5291249752044678,0.0,0.0,0.0,0.0,,,,,,,,,,,,
