method,mode,n,all_status_ok,fixed_step_reward_mean,fixed_step_reward_std,fixed_step_reward_min,fixed_step_reward_max,done_rate_mean,done_rate_std,done_rate_min,done_rate_max,episode_return_mean_mean,episode_return_mean_std,episode_return_mean_min,episode_return_mean_max,episode_len_mean_mean,episode_len_mean_std,episode_len_mean_min,episode_len_mean_max,screw_progress_rad_mean_mean,screw_progress_rad_mean_std,screw_progress_rad_mean_min,screw_progress_rad_mean_max,success_2pi_rate_mean,success_2pi_rate_std,success_2pi_rate_min,success_2pi_rate_max,policy_ms_mean_mean,policy_ms_mean_std,policy_ms_mean_min,policy_ms_mean_max,policy_ms_p50_mean,policy_ms_p50_std,policy_ms_p50_min,policy_ms_p50_max,policy_ms_p95_mean,policy_ms_p95_std,policy_ms_p95_min,policy_ms_p95_max
bc_latentbc,eval,3,True,4.085802473772674,0.04717908648188712,4.040363489106767,4.134547726529945,0.0010986328425133252,4.661636811399698e-05,0.0010579427435004618,0.0011494954715089989,2684.7593587239585,108.59811119607339,2570.717529296875,2786.93994140625,654.9427083333334,15.391316179223956,639.71875,670.49609375,2.1321423848470054,0.14378273878284062,1.9702131748199463,2.2448508739471436,0.0,0.0,0.0,0.0,,,,,,,,,,,,
consistency_latent,eval,9,True,5.228314390490409,0.06184857551547689,5.148412165799527,5.34307814463682,0.0010489004885635546,2.35535470494908e-05,0.0010172526262977044,0.0010884603325393982,3538.865532769097,80.94699080192218,3408.860595703125,3697.877197265625,678.7535196940104,15.397214583495147,658.49609375,709.3789672851562,2.3575075997246637,0.13172413254426793,2.071016311645508,2.545003652572632,0.0003898635477582846,0.0011695906432748536,0.0,0.0035087719298245615,,,,,,,,,,,,
dagger,eval,3,True,4.767787048825994,0.020545944541233804,4.749365086585385,4.789944431666299,0.0010681152604471815,5.3827966327675415e-05,0.0010274251453665784,0.0011291504379187245,3283.3434244791665,95.2671255604897,3208.341796875,3390.53564453125,685.0759684244791,20.282638834470465,668.0234375,707.5052490234375,2.1382434368133545,0.1655810050982253,1.9983398914337158,2.3210549354553223,0.0,0.0,0.0,0.0,,,,,,,,,,,,
diffusion_latent,eval,9,True,4.568752053633186,0.11465139017332815,4.433587989027728,4.742849634484173,0.0011574074355343732,4.4276146138720666e-05,0.0010681152416509576,0.0012003581150565878,2934.28369140625,106.0595483714114,2828.860107421875,3190.343505859375,642.1299845377604,13.661900904021321,625.7597045898438,671.90625,1.8159106969833374,0.22460512782520445,1.5218394994735718,2.1986889839172363,0.0,0.0,0.0,0.0,,,,,,,,,,,,
dotpg,eval,3,True,3.446265601567878,0.021446238571032956,3.4268679574115595,3.46929632897627,0.0010375976844443358,2.0111969558907714e-11,0.0010375976617069682,0.0010375976999057457,2330.3963216145835,85.81964843949154,2273.898681640625,2429.150634765625,683.2691243489584,21.7429761950297,667.203125,708.010498046875,2.2405343055725098,0.14763660856418925,2.1104202270507812,2.4009816646575928,0.0,0.0,0.0,0.0,,,,,,,,,,,,
flow_matching,eval,9,True,5.102144928642803,0.15546782198970308,4.8778377096459735,5.36874801918384,0.0010748969397253757,3.0090734485395367e-05,0.0010274251426380943,0.0011189778851985466,3428.2525227864585,134.09043696761773,3263.312255859375,3624.2412109375,672.7252604166666,12.611905549542312,649.2421875,692.03515625,2.265431589550442,0.09439735667564828,2.093451738357544,2.4107470512390137,0.0,0.0,0.0,0.0,,,,,,,,,,,,
padapt,eval,9,True,4.8802226894703535,0.1389745629967021,4.561607266378587,5.020409263532201,0.001071506097711487,2.1579190510609798e-05,0.0010375976889918093,0.001098632848879788,3275.3018391927085,100.07983822290468,3141.77978515625,3409.966064453125,673.7721354166666,7.859734407553184,664.3984375,685.62890625,2.181705951690674,0.08641762832413939,2.0718719959259033,2.3006603717803955,0.0,0.0,0.0,0.0,,,,,,,,,,,,
purebc,eval,9,True,4.8170130358581424,0.16676209456921715,4.53605183624677,4.963350740377791,0.0010873300295012693,5.628184755017367e-05,0.0010274251535520307,0.0011901855596079258,3192.4937608506943,111.56003591263958,3020.51220703125,3349.615234375,668.7800564236111,11.326000290896278,655.3671875,687.66796875,2.207151280509101,0.11204405038165603,1.9662611484527588,2.339019775390625,0.0,0.0,0.0,0.0,,,,,,,,,,,,
teacher_ppo,eval,3,True,5.47873181654298,0.013895121322517945,5.4640439007653185,5.49166802300897,0.0010443793577602871,1.5538789172867567e-05,0.001027425152642536,0.0010579427325865254,3764.1595865885415,173.21197610096687,3660.397705078125,3964.119873046875,686.5440063476562,23.599483028639717,669.73046875,713.5226440429688,2.3550077279408774,0.08775105103263454,2.2752859592437744,2.449031114578247,0.0,0.0,0.0,0.0,,,,,,,,,,,,
