method,mode,n,all_status_ok,fixed_step_reward_mean,fixed_step_reward_std,fixed_step_reward_min,fixed_step_reward_max,done_rate_mean,done_rate_std,done_rate_min,done_rate_max,episode_return_mean_mean,episode_return_mean_std,episode_return_mean_min,episode_return_mean_max,episode_len_mean_mean,episode_len_mean_std,episode_len_mean_min,episode_len_mean_max,screw_progress_rad_mean_mean,screw_progress_rad_mean_std,screw_progress_rad_mean_min,screw_progress_rad_mean_max,success_2pi_rate_mean,success_2pi_rate_std,success_2pi_rate_min,success_2pi_rate_max,policy_ms_mean_mean,policy_ms_mean_std,policy_ms_mean_min,policy_ms_mean_max,policy_ms_p50_mean,policy_ms_p50_std,policy_ms_p50_min,policy_ms_p50_max,policy_ms_p95_mean,policy_ms_p95_std,policy_ms_p95_min,policy_ms_p95_max
consistency_latent,eval,3,True,4.119405221375928,0.12751886614614327,4.007625519421708,4.258301306434987,0.00128173831156649,1.761933693390584e-05,0.0012715657812805148,0.0013020833694099565,2564.65185546875,149.1540741838698,2395.282958984375,2676.40234375,611.8652547200521,11.34368168208889,598.7832641601562,618.9765625,2.208022117614746,0.158104056581481,2.026637554168701,2.316648244857788,0.0,0.0,0.0,0.0,,,,,,,,,,,,
diffusion_latent,eval,3,True,3.8337687425110594,0.030537163762188946,3.7985180724583643,3.8521431211047457,0.0012037489529272232,3.1077573384028904e-05,0.0011698405378410826,0.001230875677720178,2357.0502115885415,183.82532417335014,2174.322021484375,2541.953369140625,614.1944580078125,27.12100960476566,587.3068237304688,641.54296875,1.8791821002960205,0.02194609708730042,1.8663923740386963,1.9045228958129883,0.0,0.0,0.0,0.0,,,,,,,,,,,,
flow_matching,eval,3,True,4.2736619573094385,0.12909937798381113,4.154354343548221,4.410716793703614,0.0012749566385537037,5.7843434581365084e-05,0.0012105306350349565,0.001322428423918609,2732.1944173177085,29.236899589896232,2699.501220703125,2755.832275390625,618.7825520833334,2.644223501911269,617.03125,621.82421875,2.1802147229512534,0.06706098024101523,2.1127066612243652,2.246819496154785,0.0,0.0,0.0,0.0,,,,,,,,,,,,
padapt,eval,3,True,3.8499806200790467,0.1853285502049482,3.6916159132811117,4.053811023008166,0.001288520013076777,2.117580513342569e-05,0.0012715657921944512,0.001312255908487714,2306.9071451822915,139.2912347526379,2146.148681640625,2391.7119140625,611.0409138997396,8.706540766133408,602.2907104492188,619.703125,2.1730829079945884,0.20311195330324036,2.009823799133301,2.4005353450775146,0.0,0.0,0.0,0.0,,,,,,,,,,,,
purebc,eval,3,True,3.649691058469216,0.10008121098099666,3.5394503116949636,3.7348361234353433,0.0013393826366154826,4.698488790095905e-05,0.0013122558984832722,0.0013936361119704088,1933.6978759765625,330.4856795268815,1703.07373046875,2312.316162109375,574.68359375,30.670255395741965,555.765625,610.0703125,2.3689470291137695,0.266410751760229,2.175163745880127,2.672746181488037,0.0,0.0,0.0,0.0,,,,,,,,,,,,
teacher_ppo,eval,3,True,4.45894677987538,0.07752399219277285,4.410798142394924,4.5483759063736215,0.001339382641466121,4.698489000134736e-05,0.0013122558975737775,0.0013936361192463664,2638.343505859375,157.23955652239448,2463.616943359375,2768.453125,600.6548665364584,6.038105256610491,594.8953247070312,606.9375,2.3312665621439614,0.04913796570747878,2.2860569953918457,2.383563280105591,0.0,0.0,0.0,0.0,,,,,,,,,,,,
