method,mode,n,all_status_ok,fixed_step_reward_mean,fixed_step_reward_std,fixed_step_reward_min,fixed_step_reward_max,done_rate_mean,done_rate_std,done_rate_min,done_rate_max,episode_return_mean_mean,episode_return_mean_std,episode_return_mean_min,episode_return_mean_max,episode_len_mean_mean,episode_len_mean_std,episode_len_mean_min,episode_len_mean_max,screw_progress_rad_mean_mean,screw_progress_rad_mean_std,screw_progress_rad_mean_min,screw_progress_rad_mean_max,success_2pi_rate_mean,success_2pi_rate_std,success_2pi_rate_min,success_2pi_rate_max,policy_ms_mean_mean,policy_ms_mean_std,policy_ms_mean_min,policy_ms_mean_max,policy_ms_p50_mean,policy_ms_p50_std,policy_ms_p50_min,policy_ms_p50_max,policy_ms_p95_mean,policy_ms_p95_std,policy_ms_p95_min,policy_ms_p95_max
consistency_latent,latency,3,True,,,,,,,,,,,,,,,,,,,,,,,,,1.8253620465596516,0.18253379466319755,1.641066312789917,2.0060813426971436,1.8127261797587078,0.17887508000227276,1.6328485012054443,1.9905815124511719,1.906287948290507,0.2067530934998262,1.7005277872085571,2.1140198707580566
diffusion_action_chunk,latency,3,True,,,,,,,,,,,,,,,,,,,,,,,,,2.0189438660939536,0.006132902470212161,2.0152037143707275,2.026021718978882,2.0032283862431846,0.006492110276151748,1.9975630044937134,2.010312557220459,2.1316550572713218,0.045165542974642245,2.1010241508483887,2.1835250854492188
diffusion_latent,latency,3,True,,,,,,,,,,,,,,,,,,,,,,,,,2.1029553413391113,0.045847471205364775,2.0500288009643555,2.1304562091827393,2.086761554082235,0.04870080647225578,2.0306396484375,2.1179075241088867,2.2273048559824624,0.005385134486448032,2.223209857940674,2.2334048748016357
flow_matching,latency,3,True,,,,,,,,,,,,,,,,,,,,,,,,,1.9771638711293538,0.08092803036068243,1.930370569229126,2.0706114768981934,1.9664376179377239,0.09012728506997582,1.9133410453796387,2.070500373840332,2.088724056879679,0.12182610489658877,2.011708974838257,2.2291781902313232
