candidate,bug_status,delta_hard_vs_v3m0,delta_light_v2_vs_v3m0,delta_hard_done_vs_v3m0,delta_hard_vs_padapt,gate_single_seed
v3a1_curriculum_stagedte,buggy,-0.152663,0.1311230000000001,0.0005690000000000001,-0.48598399999999997,FAIL
v3a2_curriculum_stagedhold_hardtarget,buggy,-0.31513499999999994,-0.25370800000000004,0.00048800000000000015,-0.6484559999999999,FAIL
v3a3_curriculum_linear_midtarget,buggy,-0.051875000000000115,-0.04558200000000001,0.00024399999999999986,-0.3851960000000001,FAIL
v3b1_residual_scale05,buggy,-0.547112,-0.3911420000000001,0.0005690000000000001,-0.880433,FAIL
v3b2_residual_scale10,buggy,-0.35247000000000006,-0.4179060000000001,0.000732,-0.685791,FAIL
v3b3_residual_notail,buggy,-0.1617010000000001,0.15146400000000004,0.00024399999999999986,-0.4950220000000001,FAIL
v4m0_bugfix_baseline,bug_free,-0.13763499999999995,-0.05013299999999998,0.00040700000000000024,-0.47095599999999993,FAIL
