source,variant,condition,n,seeds,avg_reward_mean,avg_reward_std,avg_reward_ci95,avg_done_rate_mean,avg_done_rate_std,avg_done_rate_ci95,latent_mse_mean,latent_mse_std,latent_mse_ci95,latent_l1_mean,latent_l1_std,latent_l1_ci95,action_mse_to_teacher_mean,action_mse_to_teacher_std,action_mse_to_teacher_ci95,residual_abs_mean_mean,residual_abs_mean_std,residual_abs_mean_ci95,residual_l2_mean_mean,residual_l2_mean_std,residual_l2_mean_ci95,residual_to_target_ratio_mean,residual_to_target_ratio_std,residual_to_target_ratio_ci95,pred_residual_abs_mean_mean,pred_residual_abs_mean_std,pred_residual_abs_mean_ci95,pred_to_target_ratio_mean,pred_to_target_ratio_std,pred_to_target_ratio_ci95,action_correction_abs_mean_mean,action_correction_abs_mean_std,action_correction_abs_mean_ci95,action_correction_l2_mean_mean,action_correction_l2_mean_std,action_correction_l2_mean_ci95,base_action_mse_to_teacher_mean,base_action_mse_to_teacher_std,base_action_mse_to_teacher_ci95
m1_baseline,padapt,hard,3,"42,43,44",1.8382246666666666,0.1054584224053358,0.11933743918550642,0.0014106666666666666,0.00013813117758935603,0.00015631014222680162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m1_baseline,padapt,light_v2,3,"42,43,44",2.079073666666667,0.10264837500364488,0.11615757120285478,0.0012206666666666666,0.0001759059091926388,0.00019905627508785514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m1_baseline,padapt,nominal,3,"42,43,44",2.1678196666666665,0.1829294798446173,0.20700419348477572,0.0013016666666666667,0.00011502270307301166,0.0001301604416209585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m1_baseline,purebc,hard,3,"42,43,44",1.8497646666666667,0.033949798726289386,0.03841781384977131,0.0014110000000000001,0.00030688434303496165,0.0003472723258001805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m1_baseline,purebc,light_v2,3,"42,43,44",2.1905076666666665,0.12374716471993283,0.14003309937051212,0.0013293333333333334,0.00021382599363864901,0.00024196689017454593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m1_baseline,purebc,nominal,3,"42,43,44",1.882908,0.43761701942756603,0.4952102757781952,0.001302,0.0001992251657463652,0.00022544449802310305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m1_baseline,teacher_ppo,hard,3,"42,43,44",2.762886,0.17209350064620876,0.19474212869079238,0.0008136666666666666,0.0002393635078471422,0.00027086530795185246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m1_baseline,teacher_ppo,light_v2,3,"42,43,44",2.91541,0.15743073810621191,0.17814965088771215,0.0007866666666666666,0.0001385889205127484,0.00015682812710688046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m1_baseline,teacher_ppo,nominal,3,"42,43,44",3.055567,0.13354740179426927,0.15112311161597308,0.0007326666666666667,0.00023970305704257413,0.00027124954403784856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m2_gap,decode_only,hard,3,"42,43,44",0.7009376666666667,0.11224766443697415,0.12702018978604387,0.002658666666666667,0.0003777656534002117,0.00042748207929516594,0.14401566666666665,0.005026671816973487,0.0056882146402487945,0.25741166666666665,0.00508415481886836,0.005753262780419746,0.267246,0.008193611454460528,0.009271944206581255,,,,,,,,,,,,,,,,,,,,,,,,
