source,variant,condition,seed,steps,avg_reward,avg_done_rate,eval_mode,latent_mse,latent_l1,action_mse_to_teacher,residual_abs_mean,residual_l2_mean,residual_to_target_ratio,pred_residual_abs_mean,pred_to_target_ratio,action_correction_abs_mean,action_correction_l2_mean,base_action_mse_to_teacher,log_path
m2_gap,diffusion,hard,43,256,1.642616,0.001546,diffusion,0.08358,0.175677,0.158712,,,,,,,,,outputs/robustness_eval/plansv2_m2_gap_gate/diffusion_hard_s43.log
m2_gap,diffusion,hard,44,256,1.764717,0.001628,diffusion,0.083393,0.179014,0.16375,,,,,,,,,outputs/robustness_eval/plansv2_m2_gap_gate/diffusion_hard_s44.log
m2_gap,diffusion,light_v2,42,256,1.405413,0.002441,diffusion,0.083765,0.177341,0.158655,,,,,,,,,outputs/robustness_eval/plansv2_m2_gap_gate/diffusion_light_v2_s42.log
m2_gap,diffusion,light_v2,43,256,1.955448,0.001139,diffusion,0.079922,0.174731,0.144379,,,,,,,,,outputs/robustness_eval/plansv2_m2_gap_gate/diffusion_light_v2_s43.log
m2_gap,diffusion,light_v2,44,256,2.005074,0.001221,diffusion,0.079286,0.175518,0.151348,,,,,,,,,outputs/robustness_eval/plansv2_m2_gap_gate/diffusion_light_v2_s44.log
m2_gap,diffusion,nominal,42,256,1.907224,0.001383,diffusion,0.082628,0.179935,0.145339,,,,,,,,,outputs/robustness_eval/plansv2_m2_gap_gate/diffusion_nominal_s42.log
m2_gap,diffusion,nominal,43,256,2.183294,0.001058,diffusion,0.078748,0.17535,0.14437,,,,,,,,,outputs/robustness_eval/plansv2_m2_gap_gate/diffusion_nominal_s43.log
m2_gap,diffusion,nominal,44,256,2.098084,0.001221,diffusion,0.079801,0.173886,0.149225,,,,,,,,,outputs/robustness_eval/plansv2_m2_gap_gate/diffusion_nominal_s44.log
m4_nominal_unscaled,residual_unscaled,nominal,42,256,1.726486,0.001628,diffusion,0.076004,0.173088,0.138251,0.249687,2.319481,1.053166,,,0.232399,1.129323,0.258494,outputs/robustness_eval/plansv2_m4_residual_gate_nominal/residual_nominal_s42.log
m4_nominal_unscaled,residual_unscaled,nominal,43,256,2.208504,0.000977,diffusion,0.068331,0.164463,0.127064,0.246238,2.285771,1.051694,,,0.24656,1.189343,0.252245,outputs/robustness_eval/plansv2_m4_residual_gate_nominal/residual_nominal_s43.log
m4_nominal_unscaled,residual_unscaled,nominal,44,256,2.203304,0.000977,diffusion,0.074054,0.173069,0.137227,0.247146,2.288385,1.047796,,,0.228332,1.116181,0.266926,outputs/robustness_eval/plansv2_m4_residual_gate_nominal/residual_nominal_s44.log
m4_nominal_scale05,residual_scale05,nominal,42,256,1.510208,0.00179,diffusion,0.091573,0.196785,0.159869,0.250822,2.339667,1.04896,0.092636,0.369869,0.164456,0.80534,0.273085,outputs/robustness_eval/plansv2_m4_residual_gate_nominal_scale05/residual_nominal_s42.log
m4_nominal_scale05,residual_scale05,nominal,43,256,1.591856,0.001139,diffusion,0.09272,0.19775,0.166782,0.248431,2.320562,1.051551,0.093946,0.378337,0.179022,0.863332,0.26881,outputs/robustness_eval/plansv2_m4_residual_gate_nominal_scale05/residual_nominal_s43.log
m4_nominal_scale05,residual_scale05,nominal,44,256,1.665735,0.001302,diffusion,0.097977,0.20394,0.180655,0.252689,2.345735,1.04769,0.094574,0.374354,0.171527,0.82972,0.277943,outputs/robustness_eval/plansv2_m4_residual_gate_nominal_scale05/residual_nominal_s44.log
m4_compare_robust,padapt,hard,42,256,1.826708,0.001546,,,,,,,,,,,,,outputs/robustness_eval/plansv2_m4_residual_compare_pack/padapt_hard_s42.log
m4_compare_robust,padapt,hard,43,256,1.972757,0.001465,,,,,,,,,,,,,outputs/robustness_eval/plansv2_m4_residual_compare_pack/padapt_hard_s43.log
m4_compare_robust,padapt,hard,44,256,1.715209,0.001221,,,,,,,,,,,,,outputs/robustness_eval/plansv2_m4_residual_compare_pack/padapt_hard_s44.log
m4_compare_robust,padapt,light_v2,42,256,1.967401,0.001465,,,,,,,,,,,,,outputs/robustness_eval/plansv2_m4_residual_compare_pack/padapt_light_v2_s42.log
m4_compare_robust,padapt,light_v2,43,256,2.215234,0.001058,,,,,,,,,,,,,outputs/robustness_eval/plansv2_m4_residual_compare_pack/padapt_light_v2_s43.log
m4_compare_robust,padapt,light_v2,44,256,2.054586,0.001139,,,,,,,,,,,,,outputs/robustness_eval/plansv2_m4_residual_compare_pack/padapt_light_v2_s44.log
m4_compare_robust,residual_scale05,hard,42,256,1.504682,0.002035,diffusion,0.079888,0.16962,0.15181,0.255462,2.352197,1.073462,0.197133,0.772668,0.294053,1.410542,0.247161,outputs/robustness_eval/plansv2_m4_residual_compare_pack/residual_scale05_hard_s42.log
m4_compare_robust,residual_scale05,hard,43,256,1.610642,0.001546,diffusion,0.072336,0.15812,0.143133,0.254597,2.332374,1.082704,0.196898,0.774239,0.30528,1.456881,0.239053,outputs/robustness_eval/plansv2_m4_residual_compare_pack/residual_scale05_hard_s43.log
m4_compare_robust,residual_scale05,hard,44,256,1.531331,0.001302,diffusion,0.076832,0.168003,0.150118,0.255638,2.337055,1.07606,0.194854,0.762986,0.303772,1.452845,0.250677,outputs/robustness_eval/plansv2_m4_residual_compare_pack/residual_scale05_hard_s44.log
m4_compare_robust,residual_scale05,light_v2,42,256,1.653398,0.00179,diffusion,0.071036,0.159192,0.138884,0.250707,2.308361,1.063751,0.196174,0.784036,0.287596,1.38186,0.232605,outputs/robustness_eval/plansv2_m4_residual_compare_pack/residual_scale05_light_v2_s42.log
m4_compare_robust,residual_scale05,light_v2,43,256,1.767168,0.001302,diffusion,0.062224,0.146832,0.132323,0.250329,2.303115,1.072782,0.195647,0.782767,0.29997,1.439651,0.239282,outputs/robustness_eval/plansv2_m4_residual_compare_pack/residual_scale05_light_v2_s43.log
m4_compare_robust,residual_scale05,light_v2,44,256,1.713544,0.001546,diffusion,0.070948,0.159551,0.139647,0.251734,2.309027,1.063484,0.193026,0.767716,0.301917,1.448888,0.244566,outputs/robustness_eval/plansv2_m4_residual_compare_pack/residual_scale05_light_v2_s44.log
m4_compare_robust,residual_unscaled,hard,42,256,1.252596,0.002035,diffusion,0.092543,0.190176,0.173683,0.255799,2.371243,1.066464,0.166438,0.651425,0.237492,1.145525,0.269876,outputs/robustness_eval/plansv2_m4_residual_compare_pack/residual_unscaled_hard_s42.log
m4_compare_robust,residual_unscaled,hard,43,256,1.542081,0.001709,diffusion,0.089621,0.189132,0.173324,0.252096,2.328805,1.065317,0.172028,0.68341,0.251381,1.205538,0.267418,outputs/robustness_eval/plansv2_m4_residual_compare_pack/residual_unscaled_hard_s43.log
m4_compare_robust,residual_unscaled,hard,44,256,1.488589,0.00179,diffusion,0.089082,0.191855,0.172308,0.25324,2.326964,1.059608,0.166995,0.66027,0.228132,1.106406,0.271014,outputs/robustness_eval/plansv2_m4_residual_compare_pack/residual_unscaled_hard_s44.log
m4_compare_robust,residual_unscaled,light_v2,42,256,1.49436,0.001546,diffusion,0.085109,0.183111,0.153604,0.252952,2.351112,1.056068,0.165666,0.656187,0.234183,1.133891,0.257898,outputs/robustness_eval/plansv2_m4_residual_compare_pack/residual_unscaled_light_v2_s42.log
m4_compare_robust,residual_unscaled,light_v2,43,256,1.901403,0.001302,diffusion,0.078167,0.175463,0.148,0.248547,2.304073,1.05735,0.169386,0.68286,0.249079,1.200328,0.253561,outputs/robustness_eval/plansv2_m4_residual_compare_pack/residual_unscaled_light_v2_s43.log
m4_compare_robust,residual_unscaled,light_v2,44,256,1.906493,0.001221,diffusion,0.080887,0.184613,0.157436,0.250566,2.30308,1.050663,0.165897,0.663248,0.229136,1.114413,0.268935,outputs/robustness_eval/plansv2_m4_residual_compare_pack/residual_unscaled_light_v2_s44.log
